device_name,date,time,temp,humid,soil,soil_temp,salt,bat,batcharge,wifi_ssid,Gn
30c6f71d7da4,2023-01-19,10:26,14.5,65.0,63.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:31,14.9,65.0,63.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:36,15.3,63.0,63.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:41,15.2,62.0,62.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:46,15.3,63.0,62.0,4095.938,98.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:52,16.4,59.0,63.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:57,18.0,56.0,62.0,4095.938,100.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:03,19.4,53.0,64.0,4095.938,103.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:08,20.0,53.0,64.0,4095.938,105.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:14,18.7,55.0,62.0,4095.938,105.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:19,18.4,57.0,63.0,4095.938,105.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:24,18.0,57.0,62.0,4095.938,104.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:30,18.4,56.0,63.0,4095.938,104.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:35,20.0,51.0,62.0,4095.938,104.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:40,20.4,50.0,62.0,4095.938,107.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:45,21.9,49.0,61.0,4095.938,108.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,11:51,22.8,44.0,62.0,4095.938,110.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,12:01,23.2,46.0,62.0,4095.938,111.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,12:06,22.6,45.0,63.0,4095.938,111.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,12:12,22.9,47.0,63.0,4095.938,111.0,100.0,charging,Fly in the sky 2.4g,1
